name,runtime,size,n_processors,nodes
ludcmp-blas,0.052737,1024,16,1
ludcmp-blas,0.039979,1024,16,1
ludcmp-blas,0.040426,1024,16,1
ludcmp-blas,0.04053,1024,16,1
ludcmp-blas,0.0397,1024,16,1
ludcmp-blas,0.269603,2048,16,1
ludcmp-blas,0.269303,2048,16,1
ludcmp-blas,0.268931,2048,16,1
ludcmp-blas,10.611685,2048,16,1
ludcmp-blas,10.689936,2048,16,1
ludcmp-blas,1.663486,4096,16,1
ludcmp-blas,1.627545,4096,16,1
ludcmp-blas,1.608921,4096,16,1
ludcmp-blas,1.602404,4096,16,1
ludcmp-blas,1.650717,4096,16,1
ludcmp-blocking-openmp-fma-mpi,2.673951,1024,16,2
ludcmp-blocking-openmp-fma-mpi,3.011487,1024,16,2
ludcmp-blocking-openmp-fma-mpi,3.320742,1024,16,2
ludcmp-blocking-openmp-fma-mpi,2.495556,1024,16,2
ludcmp-blocking-openmp-fma-mpi,2.818531,1024,16,2
ludcmp-blocking-openmp-fma-mpi,7.253499,2048,16,2
ludcmp-blocking-openmp-fma-mpi,6.236649,2048,16,2
ludcmp-blocking-openmp-fma-mpi,6.439287,2048,16,2
ludcmp-blocking-openmp-fma-mpi,6.424528,2048,16,2
ludcmp-blocking-openmp-fma-mpi,7.278001,2048,16,2
ludcmp-blocking-openmp-fma-mpi,30.440187,4096,16,2
ludcmp-blocking-openmp-fma-mpi,21.181242,4096,16,2
ludcmp-blocking-openmp-fma-mpi,29.55921,4096,16,2
ludcmp-blocking-openmp-fma-mpi,26.000195,4096,16,2
ludcmp-blocking-openmp-fma-mpi,27.243757,4096,16,2
ludcmp-blocking-openmp-fma,2.403521,1024,16,1
ludcmp-blocking-openmp-fma,2.48793,1024,16,1
ludcmp-blocking-openmp-fma,2.636391,1024,16,1
ludcmp-blocking-openmp-fma,2.220069,1024,16,1
ludcmp-blocking-openmp-fma,2.209944,1024,16,1
ludcmp-blocking-openmp-fma,4.39683,2048,16,1
ludcmp-blocking-openmp-fma,1.438253,2048,16,1
ludcmp-blocking-openmp-fma,4.943715,2048,16,1
ludcmp-blocking-openmp-fma,4.856896,2048,16,1
ludcmp-blocking-openmp-fma,0.270058,2048,16,1
ludcmp-blocking-openmp-fma,10.217305,4096,16,1
ludcmp-blocking-openmp-fma,9.290439,4096,16,1
ludcmp-blocking-openmp-fma,3.494037,4096,16,1
ludcmp-blocking-openmp-fma,9.236703,4096,16,1
ludcmp-blocking-openmp-fma,2.035895,4096,16,1
ludcmp-blocking-openmp,2.240483,1024,16,1
ludcmp-blocking-openmp,0.047328,1024,16,1
ludcmp-blocking-openmp,2.359608,1024,16,1
ludcmp-blocking-openmp,2.619889,1024,16,1
ludcmp-blocking-openmp,2.369667,1024,16,1
ludcmp-blocking-openmp,5.343801,2048,16,1
ludcmp-blocking-openmp,5.3617,2048,16,1
ludcmp-blocking-openmp,0.343504,2048,16,1
ludcmp-blocking-openmp,5.339135,2048,16,1
ludcmp-blocking-openmp,2.955458,2048,16,1
ludcmp-blocking-openmp,2.696992,4096,16,1
ludcmp-blocking-openmp,11.137273,4096,16,1
ludcmp-blocking-openmp,2.698237,4096,16,1
ludcmp-blocking-openmp,12.036771,4096,16,1
ludcmp-blocking-openmp,11.666544,4096,16,1
ludcmp-blocking,0.494805,1024,16,1
ludcmp-blocking,0.494101,1024,16,1
ludcmp-blocking,0.494809,1024,16,1
ludcmp-blocking,0.491788,1024,16,1
ludcmp-blocking,0.492745,1024,16,1
ludcmp-blocking,3.962125,2048,16,1
ludcmp-blocking,3.935674,2048,16,1
ludcmp-blocking,3.937213,2048,16,1
ludcmp-blocking,3.935191,2048,16,1
ludcmp-blocking,3.933868,2048,16,1
ludcmp-blocking,31.115113,4096,16,1
ludcmp-blocking,31.157321,4096,16,1
ludcmp-blocking,32.625687,4096,16,1
ludcmp-blocking,31.804073,4096,16,1
ludcmp-blocking,31.13746,4096,16,1
ludcmp,1.207964,1024,16,1
ludcmp,1.240763,1024,16,1
ludcmp,1.22413,1024,16,1
ludcmp,1.22869,1024,16,1
ludcmp,1.235251,1024,16,1
ludcmp,13.390644,2048,16,1
ludcmp,13.603239,2048,16,1
ludcmp,14.393709,2048,16,1
ludcmp,13.662846,2048,16,1
ludcmp,13.596836,2048,16,1
ludcmp,152.70938,4096,16,1
ludcmp,153.389566,4096,16,1
ludcmp,151.275486,4096,16,1
ludcmp,150.98311,4096,16,1
ludcmp,150.117905,4096,16,1
